state_residence_abb,census_division,census_region,year,black_race,deaths,population,STATEFIP,State,YEAR,Population,Household.Firearm.Rate.L5,GOP.control.L5,Robbery.Assault.Rate.L5,Percent.Black.L5,np1.L5,np2.L5,Percent.Urban.Households.L5,Percent.Hispanic,Percent.API,Yearend.Total.Incarceration.Rate.L5,Unemployment.Rate,Decile.income.share,Income2000dollars,Percent.15.to.29,Percent.Div.Sep.Wid,Percent.Children.Single.Parent,Interp.Foreign.Born,Percent.Military.Veterans,Alcohol.per.capita,Poverty.Rate,Percent.0.to.14,Percent.30.to.59,Percent.60.and.over,Percent.White,Percent.Black,Percent.Married,Percent.Never.Married,Percent.Bachelors.degree.or.higher,Gender.Ratio,Unemployment.change,state,smth_np1.L5,smth_np2.L5,Percent.Urban.Households,ubc,ma20,cc_pc,cc_si,syg,cap,vm,ubc_slow,ma20_slow,cc_pc_slow,cc_si_slow,syg_slow,cap_slow,vm_slow,deaths_lag1,deaths_lag2,population_lag1,population_lag2,ubc_lag1,ubc_lag2,ma20_lag1,ma20_lag2,cc_pc_lag1,cc_pc_lag2,cc_si_lag1,cc_si_lag2,syg_lag1,syg_lag2,cap_lag1,cap_lag2,vm_lag1,vm_lag2,ubc_slow_lag1,ubc_slow_lag2,ma20_slow_lag1,ma20_slow_lag2,cc_pc_slow_lag1,cc_pc_slow_lag2,cc_si_slow_lag1,cc_si_slow_lag2,syg_slow_lag1,syg_slow_lag2,cap_slow_lag1,cap_slow_lag2,vm_slow_lag1,vm_slow_lag2,ldo_lag1,ldo_lag2,lpo_lag1,lpo_lag2,black_ind,race_recode,lag1_zero,lag2_zero,lag_o1_zero,lag_o2_zero,state_f,state_n
AL,Division 6: East South Central,Region 3: South,1986,1,34,1010882,1,Alabama,1986,3991552,0.6272042726361969,-0.7308684488907907,0.23323515678859238,1.6116575013865855,0.5387637919731934,1.907721719678411,0.23136252980900712,-1.2000020157318454,-1.0686056925363034,0.5447489505287316,1.455019860079491,1.2854808187620015,-1.0003248104241114,0.6770051567394233,1.0438448498891242,1.5747623100234955,-1.2869993672990798,-0.6984320142824352,-0.927232496657992,2.3338674111916,-0.098089537914071,-0.7477303913729091,0.29927961010660115,-1.1603378324374634,1.6097049492592526,-0.41426660460437087,-0.3006865256480973,-0.985925141183076,-1.1337195221954977,0.08041170161381468,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,29,37,1008112,1005678,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,323,318,2965989,2946722,1,0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1987,0,316,3000941,1,Alabama,1987,4015266,1.1117334013960767,-0.7448081415239693,0.09573754602894273,1.6077545253662076,0.5125763016709306,1.949026567242586,0.179783587137669,-1.2520864743510938,-1.0635559586411965,0.7983861503059345,1.0783103392053224,0.495020303248478,-1.0413659356762504,0.7389448112074077,1.4654976472842198,1.751590690879874,-1.3069320232498134,-1.5356652942248736,-1.0012667202511119,1.9285405478068443,-0.18166145435082243,-0.7724559973145728,0.35635032895716795,-1.1505272682756085,1.6012413095034879,-0.9151089991341503,-0.08421225676923733,-1.294174646006519,-1.1436638161300736,-0.7732692326524767,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,349,323,2982280,2965989,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,34,29,1010882,1008112,0,-0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1987,1,33,1016240,1,Alabama,1987,4015266,1.1117334013960767,-0.7448081415239693,0.09573754602894273,1.6077545253662076,0.5125763016709306,1.949026567242586,0.179783587137669,-1.2520864743510938,-1.0635559586411965,0.7983861503059345,1.0783103392053224,0.495020303248478,-1.0413659356762504,0.7389448112074077,1.4654976472842198,1.751590690879874,-1.3069320232498134,-1.5356652942248736,-1.0012667202511119,1.9285405478068443,-0.18166145435082243,-0.7724559973145728,0.35635032895716795,-1.1505272682756085,1.6012413095034879,-0.9151089991341503,-0.08421225676923733,-1.294174646006519,-1.1436638161300736,-0.7732692326524767,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,34,29,1010882,1008112,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,349,323,2982280,2965989,1,0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1988,0,336,3007945,1,Alabama,1988,4023902,0.5378308754974376,-0.7588438746629923,-0.07090558594035132,1.6015940565988973,0.25980194087359126,1.9709091327844501,0.3174814377599477,-1.3067359763009732,-1.053009108936187,0.8184359924717337,0.8309863650007604,0.6895879999939889,-0.9637373294896774,0.6994761059044303,0.880405014951104,1.7278220079095623,-1.3305942309681456,-1.3947383447578867,-0.9904667480081542,1.5794301705143117,-0.2000647789690761,-0.802115113000722,0.42083705092862356,-1.1426752383272996,1.5932743007770878,-0.49163861894265265,-0.10948085626862751,-1.3848568084605186,-1.159103907322695,-0.508339673065855,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,316,349,3000941,2982280,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,33,34,1016240,1010882,0,-0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1988,1,47,1019100,1,Alabama,1988,4023902,0.5378308754974376,-0.7588438746629923,-0.07090558594035132,1.6015940565988973,0.25980194087359126,1.9709091327844501,0.3174814377599477,-1.3067359763009732,-1.053009108936187,0.8184359924717337,0.8309863650007604,0.6895879999939889,-0.9637373294896774,0.6994761059044303,0.880405014951104,1.7278220079095623,-1.3305942309681456,-1.3947383447578867,-0.9904667480081542,1.5794301705143117,-0.2000647789690761,-0.802115113000722,0.42083705092862356,-1.1426752383272996,1.5932743007770878,-0.49163861894265265,-0.10948085626862751,-1.3848568084605186,-1.159103907322695,-0.508339673065855,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,33,34,1016240,1010882,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,316,349,3000941,2982280,1,0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1989,0,355,3013164,1,Alabama,1989,4030239,0.8360037751447654,-0.7730029530409803,-0.03046858745414338,1.593343469809414,0.23799170159451905,2.0004267054554083,0.2982068854007423,-1.3679656548284542,-1.0441230677812343,0.8282433438625927,0.8137606651376875,0.5485512510775623,-0.8666273631946951,0.5519733808597448,0.6997657703899509,1.6539836222622566,-1.3577068437448065,-0.284324784048563,-1.097817952988076,1.5415822195843083,-0.1877874338256256,-0.7769043815916183,0.4787192513254286,-1.135586437858012,1.5853537301901708,-0.11769417497064998,-0.36371763814967556,-2.0092507728428495,-1.1919187239128068,-0.0905606972602128,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,336,316,3007945,3000941,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,47,33,1019100,1016240,0,-0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1989,1,42,1021816,1,Alabama,1989,4030239,0.8360037751447654,-0.7730029530409803,-0.03046858745414338,1.593343469809414,0.23799170159451905,2.0004267054554083,0.2982068854007423,-1.3679656548284542,-1.0441230677812343,0.8282433438625927,0.8137606651376875,0.5485512510775623,-0.8666273631946951,0.5519733808597448,0.6997657703899509,1.6539836222622566,-1.3577068437448065,-0.284324784048563,-1.097817952988076,1.5415822195843083,-0.1877874338256256,-0.7769043815916183,0.4787192513254286,-1.135586437858012,1.5853537301901708,-0.11769417497064998,-0.36371763814967556,-2.0092507728428495,-1.1919187239128068,-0.0905606972602128,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,47,33,1019100,1016240,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,336,316,3007945,3000941,1,0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1990,0,387,3020067,1,Alabama,1990,4050055,1.0037157122125442,-0.7873126813910561,0.06541080988841357,1.5841789039237038,0.27788888118384186,2.290148666264093,0.018633903715148444,-1.425202733724157,-1.055079438414965,0.811526711631742,0.8179686832520955,0.3412988416317702,-0.9445970889094913,0.49185007317670976,1.2780680429099662,0.8301500864297708,-1.3879907247271417,-0.9924355096287926,-1.0548199279062784,1.643471781501699,-0.3859542319000604,-0.5797709181306256,0.5230688523450553,-1.1266464698580407,1.5764634311591283,0.40515682214740456,-1.2926581760105338,-2.2297008689192506,-1.2449339128671504,-0.012938567163798941,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,355,336,3013164,3007945,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,42,47,1021816,1019100,0,-0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1990,1,46,1023576,1,Alabama,1990,4050055,1.0037157122125442,-0.7873126813910561,0.06541080988841357,1.5841789039237038,0.27788888118384186,2.290148666264093,0.018633903715148444,-1.425202733724157,-1.055079438414965,0.811526711631742,0.8179686832520955,0.3412988416317702,-0.9445970889094913,0.49185007317670976,1.2780680429099662,0.8301500864297708,-1.3879907247271417,-0.9924355096287926,-1.0548199279062784,1.643471781501699,-0.3859542319000604,-0.5797709181306256,0.5230688523450553,-1.1266464698580407,1.5764634311591283,0.40515682214740456,-1.2926581760105338,-2.2297008689192506,-1.2449339128671504,-0.012938567163798941,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,42,47,1021816,1019100,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,355,336,3013164,3007945,1,0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1991,0,372,3059700,1,Alabama,1991,4099156,0.4353234757370407,-0.8018003644463408,0.49388077046537115,1.574886943395461,0.25987054441766555,2.3091575980184986,0.4677367472834305,-1.4509552713480531,-1.0606615001607254,0.8249374047463953,1.1335881300127744,0.18178536499895434,-1.0277313119135016,0.4367708912038213,0.4069307883489463,1.3127144826576755,-1.3156057525774778,-1.021776829298508,-1.7378053629840753,1.590159479146521,-0.33070850153481046,-0.591749365690734,0.5144082605293336,-1.119732036512133,1.5705917452635592,-0.018202558720280374,-0.2624176682771939,-1.419318974217495,-1.236436704449275,0.5202498692252359,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,387,355,3020067,3013164,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,46,42,1023576,1021816,0,-0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1991,1,52,1041907,1,Alabama,1991,4099156,0.4353234757370407,-0.8018003644463408,0.49388077046537115,1.574886943395461,0.25987054441766555,2.3091575980184986,0.4677367472834305,-1.4509552713480531,-1.0606615001607254,0.8249374047463953,1.1335881300127744,0.18178536499895434,-1.0277313119135016,0.4367708912038213,0.4069307883489463,1.3127144826576755,-1.3156057525774778,-1.021776829298508,-1.7378053629840753,1.590159479146521,-0.33070850153481046,-0.591749365690734,0.5144082605293336,-1.119732036512133,1.5705917452635592,-0.018202558720280374,-0.2624176682771939,-1.419318974217495,-1.236436704449275,0.5202498692252359,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,46,42,1023576,1021816,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,387,355,3020067,3013164,1,0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1992,0,333,3093651,1,Alabama,1992,4154014,0.7807754733091489,-0.8164933069399568,0.49278277605623794,1.5674084352767024,0.12302275525877113,2.3226133484586886,0.4070931552555541,-1.4649171857931933,-1.083517338529071,0.9135128445525839,1.2844971622896029,0.3821742255580685,-0.9579138222743812,0.42987520531601237,1.175667848589727,1.270098127794026,-1.2553182329565358,-0.5615135773675991,-1.6528387970333411,1.2858136904076063,-0.316770315432847,-0.570232383561948,0.4860947409528429,-1.1167675192183242,1.5679111594654433,-0.30491720315117143,-0.502472667006163,-1.666101343785614,-1.1921363948574488,0.28756124438880004,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,372,387,3059700,3020067,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,52,46,1041907,1023576,0,-0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1992,1,63,1062048,1,Alabama,1992,4154014,0.7807754733091489,-0.8164933069399568,0.49278277605623794,1.5674084352767024,0.12302275525877113,2.3226133484586886,0.4070931552555541,-1.4649171857931933,-1.083517338529071,0.9135128445525839,1.2844971622896029,0.3821742255580685,-0.9579138222743812,0.42987520531601237,1.175667848589727,1.270098127794026,-1.2553182329565358,-0.5615135773675991,-1.6528387970333411,1.2858136904076063,-0.316770315432847,-0.570232383561948,0.4860947409528429,-1.1167675192183242,1.5679111594654433,-0.30491720315117143,-0.502472667006163,-1.666101343785614,-1.1921363948574488,0.28756124438880004,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,52,46,1041907,1023576,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,372,387,3059700,3020067,1,0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1993,0,375,3133624,1,Alabama,1993,4214202,0.7881465788673542,-0.8314188136050809,0.4715770791954627,1.5602418049674487,0.10821097249489546,2.332392273273864,0.33393212148520196,-1.4629596847220436,-1.0868845523543964,0.7469969943998054,1.1897246890853872,0.26764266247892277,-1.0517887111305602,0.4146147380998692,0.2654971723112825,1.1241392533880714,-1.2052043695129946,-0.09089686703676625,-1.367754281851012,1.3267751674151118,-0.2968602744023503,-0.523576342777741,0.43934179325448347,-1.1129205723250608,1.5634662081988508,0.3038308240873124,-0.49111318716713614,-1.6222114004086885,-1.1621229732791318,-0.08034234440794437,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,333,372,3093651,3059700,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,63,52,1062048,1041907,0,-0.5,0,0,0,0,AL,2
AL,Division 6: East South Central,Region 3: South,1993,1,54,1082584,1,Alabama,1993,4214202,0.7881465788673542,-0.8314188136050809,0.4715770791954627,1.5602418049674487,0.10821097249489546,2.332392273273864,0.33393212148520196,-1.4629596847220436,-1.0868845523543964,0.7469969943998054,1.1897246890853872,0.26764266247892277,-1.0517887111305602,0.4146147380998692,0.2654971723112825,1.1241392533880714,-1.2052043695129946,-0.09089686703676625,-1.367754281851012,1.3267751674151118,-0.2968602744023503,-0.523576342777741,0.43934179325448347,-1.1129205723250608,1.5634662081988508,0.3038308240873124,-0.49111318716713614,-1.6222114004086885,-1.1621229732791318,-0.08034234440794437,AL,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,63,52,1062048,1041907,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,333,372,3093651,3059700,1,0.5,0,0,0,0,AL,2
